0 4 | 1 5 | 2 6 | 3 7 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 5 | 2 6 | 3 7 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 5 | 2 7 | 3 6 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 6 | 2 5 | 3 7 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 6 | 2 7 | 3 5 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 7 | 2 5 | 3 6 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 4 | 1 7 | 2 6 | 3 5 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 9 | 6 10 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 9 | 6 11 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 10 | 6 9 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 10 | 6 11 | 7 9 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 11 | 6 9 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 8 | 5 11 | 6 10 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 8 | 6 10 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 8 | 6 11 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 10 | 6 8 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 10 | 6 11 | 7 8 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 11 | 6 8 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 9 | 5 11 | 6 10 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 8 | 6 9 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 8 | 6 11 | 7 9 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 9 | 6 8 | 7 11 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 9 | 6 11 | 7 8 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 11 | 6 8 | 7 9 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 10 | 5 11 | 6 9 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 5 | 1 4 | 2 6 | 3 7 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 5 | 1 4 | 2 7 | 3 6 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 5 | 1 6 | 2 4 | 3 7 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 10 | 6 8 | 7 9 | 
0 5 | 1 6 | 2 7 | 3 4 | 4 11 | 5 10 | 6 9 | 7 8 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 11 | 5 8 | 6 9 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 11 | 5 8 | 6 10 | 7 9 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 7 | 2 4 | 3 6 | 4 11 | 5 9 | 6 10 | 7 8 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 11 | 5 9 | 6 8 | 7 10 | 
0 5 | 1 7 | 2 6 | 3 4 | 4 11 | 5 9 | 6 10 | 7 8 | 
